Number of Bus,Name of Bus,ID,EIA plant code_gen ID,Start-Up Costs ($/MW of capacity/start),Shut-Down Costs ($/MW/shutdown),Cold Start-Up Time (hours),Warm Start-Up Time (hours),Hot Start-Up Time (hours),Minimum Up Time (hours),Minimum Down Time (hours),Ramp Rate Up and Down (%/min) , Variable O&M Costs ($/MWh),Fuel Costs ($/MMBtu),Sub Num of Bus,Status,Gen MW,Gen Mvar,Min MW,Max MW,AGC,# Cost Curve Points,IOB,IOC,Variable O&M,Fuel Cost,IOD,AVR,RegBus Num,Fuel Type,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model
111220,LA PORTE 9 2,1,7325_1,35,3.5,1,1,1,840,0,1,,0.25,833,Closed,75,10.08,34.89,81,YES,10,0,0,0,3.389,0,YES,111220,NG (Natural Gas),1.04,-21.32,41.23,YES,81,Piecewise Linear
111221,LA PORTE 9 3,1,7325_2,35,3.5,1,1,1,840,0,1,,0.25,833,Closed,75,10.7,13.8,81,YES,10,0,0,0,3.105,0,YES,111221,NG (Natural Gas),1.04,-21.95,41.23,YES,81,Piecewise Linear
111223,LIVERPOOL 4 2,1,10154_GEN1,35,3.5,1,1,1,840,0,0.1667,,,834,Closed,3.97,15.27,3.97,30,YES,6,0,0,0,3.092,0,YES,111223,NG (Natural Gas),1.04,-10.32,15.27,YES,30,Piecewise Linear
111231,SEABROOK 8 2,1,10298_GT1,35,3.5,1,1,1,840,0,1,,0.25,836,Closed,75,17.48,20.03,75,YES,5,0,0,0,3.004,0,YES,111231,NG (Natural Gas),1.04,-25.11,38.17,YES,75,Piecewise Linear
111232,SEABROOK 8 3,1,10298_GT2,35,3.5,1,1,1,840,0,1,,0.25,836,Closed,7.5,17.87,7.5,75,YES,5,0,0,0,3.29,0,YES,111232,NG (Natural Gas),1.04,-25.04,38.17,YES,75,Piecewise Linear
111233,SEABROOK 8 4,1,10298_GT3,35,3.5,1,1,1,840,0,1,,0.25,836,Closed,27.46,12,27.46,75,YES,5,0,0,0,2.855,0,YES,111233,NG (Natural Gas),1.04,-22.4,38.17,YES,75,Piecewise Linear
111234,SEABROOK 8 5,1,10298_GT4,0,0,0,0,1,0,0,1,,0.25,836,Closed,19.31,16.85,19.31,75,YES,5,0,0,0,3.438,0,YES,111234,NG (Natural Gas),1.04,-20.5,38.17,YES,75,Piecewise Linear
111237,LIVERPOOL 5 3,1,10418_GEN4,0,0,0,0,8,0,0,1,,,837,Closed,17.39,12.2,17.39,42.5,YES,6,0,0,0,3.604,0,YES,111237,NG (Natural Gas),1.04,-10.78,21.63,YES,42.5,Piecewise Linear
111241,BAYTOWN 11 2,2,10436_GT38,35,3.5,1,1,1,840,0,1,,0.25,838,Closed,13.43,14.25,13.43,28,YES,6,0,0,0,3.528,0,YES,111241,NG (Natural Gas),1.04,-8.08,14.25,YES,28,Piecewise Linear
111242,BAYTOWN 11 3,1,10436_GT45,35,3.5,1,1,1,840,0,1,,0.25,838,Closed,12.12,14.25,12.12,28,YES,6,0,0,0,2.986,0,YES,111242,NG (Natural Gas),1.04,-9.25,14.25,YES,28,Piecewise Linear
111242,BAYTOWN 11 3,2,10436_GT41,35,3.5,1,1,1,840,0,1,,0.25,838,Closed,5.59,9.16,5.59,18,YES,10,0,0,0,3.449,0,YES,111242,NG (Natural Gas),1.04,-5.82,9.16,YES,18,Piecewise Linear
111243,BAYTOWN 11 4,1,10436_GT43,35,3.5,1,1,1,840,0,1,,0.25,838,Closed,5.77,9.16,5.77,18,YES,10,0,0,0,3.298,0,YES,111243,NG (Natural Gas),1.04,-5.59,9.16,YES,18,Piecewise Linear
111243,BAYTOWN 11 4,2,10436_GT42,35,3.5,1,1,1,840,0,0.1667,,,838,Closed,5,9.16,1.93,18,YES,10,0,0,0,3.323,0,YES,111243,NG (Natural Gas),1.04,-6.07,9.16,YES,18,Piecewise Linear
111244,BAYTOWN 11 5,1,10436_GT44,35,3.5,1,1,1,840,0,0.1667,,,838,Closed,5,9.16,2.1,18,YES,10,0,0,0,3.421,0,YES,111244,NG (Natural Gas),1.04,-6.13,9.16,YES,18,Piecewise Linear
111246,BAYTOWN 12 2,1,10692_GEN5,110,11,1,1,1,840,0,12,3,1.5,839,Closed,140,34.32,68.38,140,YES,5,0,0,0,3.403,0,YES,111246,NG (Natural Gas),1.04,-39.11,71.26,YES,140,Piecewise Linear
111247,BAYTOWN 12 3,1,10692_GEN4,35,3.5,1,1,1,840,0,1,,0.25,839,Closed,36.59,21.6,36.59,90,YES,5,0,0,0,3.265,0,YES,111247,NG (Natural Gas),1.04,-22.96,45.81,YES,90,Piecewise Linear
111248,BAYTOWN 12 4,1,10692_GEN1,35,3.5,1,1,1,840,0,0.1667,,,839,Closed,14.6,16.29,14.6,32,YES,6,0,0,0,3.393,0,YES,111248,NG (Natural Gas),1.04,-9.57,16.29,YES,32,Piecewise Linear
111249,BAYTOWN 12 5,1,10692_GEN3,35,3.5,1,1,1,840,0,0.1667,,,839,Closed,14.84,9.23,14.84,32,YES,6,0,0,0,3.102,0,YES,111249,NG (Natural Gas),1.04,-10.33,16.29,YES,32,Piecewise Linear
111249,BAYTOWN 12 5,2,10692_GEN2,35,3.5,1,1,1,840,0,0.1667,,,839,Closed,11.82,9.23,11.82,32,YES,6,0,0,0,3.225,0,YES,111249,NG (Natural Gas),1.04,-9.32,16.29,YES,32,Piecewise Linear
111251,DEER PARK 12 2,1,50043_GT1,85,8.5,6,6,4,840,0,0.1667,,,840,Closed,12.15,12.15,12.15,66,YES,5,0,0,0,3.249,0,YES,111251,NG (Natural Gas),1.04,-22.39,33.59,YES,66,Piecewise Linear
111252,DEER PARK 12 3,1,50043_GT2,85,8.5,6,6,4,840,0,0.1667,,,840,Closed,20.23,11.9,20.23,66,YES,5,0,0,0,3.507,0,YES,111252,NG (Natural Gas),1.04,-20.06,33.59,YES,66,Piecewise Linear
111253,DEER PARK 12 4,1,50043_ST,85,8.5,6,6,4,840,0,0.1667,,,840,Closed,53,10.9,19.26,62,YES,10,0,0,0,3.707,0,YES,111253,NG (Natural Gas),1.04,-19.86,31.56,YES,62,Piecewise Linear
111254,DEER PARK 12 5,1,50043_GT3,85,8.5,6,6,4,840,0,>12,3,1.5,840,Closed,10.92,10.66,10.92,69,YES,9,0,0,0,3.239,0,YES,111254,NG (Natural Gas),1.04,-18.26,35.12,YES,69,Piecewise Linear
111260,BOLING 1 2,1,50137_GEN1,110,11,1,1,1,840,0,1,,0.25,842,Closed,25.93,33.89,25.93,69,YES,9,0,0,0,3.296,0,YES,111260,NG (Natural Gas),1.04,-22.98,35.12,YES,69,Piecewise Linear
111262,TEXAS CITY 6 2,1,50153_STG,100,10,6,6,12,120,15,1,,,843,Closed,14.26,13.04,14.26,38,YES,5,0,0,0,5,0,YES,111262,OTH (Other),1.04,-12.05,13.04,YES,38,Piecewise Linear
111264,GALENA PARK 19 2,1,50229_TG2,100,10,8,8,8,60,5,1,,,844,Closed,9.49,17.81,9.49,35,YES,6,0,0,0,2.932,0,YES,111264,NG (Natural Gas),1.04,-9.49,17.81,YES,35,Piecewise Linear
111266,DEER PARK 13 2,1,50304_GEN1,100,10,6,6,12,120,15,1,,,845,Closed,45,7.05,6.4,45,YES,5,0,0,0,5,0,YES,111266,OTH (Other),1.04,-15.71,16.83,YES,45,Piecewise Linear
111266,DEER PARK 13 2,2,50304_GEN2,100,10,6,6,12,120,15,1,,,845,Closed,45,7.05,11.11,45,YES,5,0,0,0,5,0,YES,111266,OTH (Other),1.04,-13.58,14.24,YES,45,Piecewise Linear
111267,DEER PARK 13 3,1,50304_GEN4,100,10,1,1,1,840,0,1,,0.25,845,Closed,24.7,23.78,24.7,75,YES,5,0,0,0,2.969,0,YES,111267,NG (Natural Gas),1.04,-20.63,38.17,YES,75,Piecewise Linear
111268,DEER PARK 13 4,1,50304_GEN5,100,10,1,1,1,840,0,1,,0.25,845,Closed,34.86,16.78,34.86,70,YES,9,0,0,0,3.125,0,YES,111268,NG (Natural Gas),1.04,-18.38,35.63,YES,70,Piecewise Linear
111270,CHANNELVIEW 13 2,1,50815_GEN6,85,8.5,6,6,4,840,0,1,,,846,Closed,58.9,-37.48,58.9,120.1,YES,6,0,0,0,3.016,0,YES,111269,NG (Natural Gas),1.037,-37.48,61.13,YES,120.1,Piecewise Linear
111271,CHANNELVIEW 13 3,1,50815_GEN7,85,8.5,6,6,4,840,0,>12,3,1.5,846,Closed,30.42,9.19,30.42,69,YES,9,0,0,0,3.289,0,YES,111271,NG (Natural Gas),1.04,-17.45,35.12,YES,69,Piecewise Linear
111272,CHANNELVIEW 13 4,1,50815_GEN1,85,8.5,6,6,4,840,0,1,,,846,Closed,32.31,6.86,32.31,69.8,YES,9,0,0,0,3.062,0,YES,111272,NG (Natural Gas),1.04,-23.45,35.53,YES,69.8,Piecewise Linear
111273,CHANNELVIEW 13 5,1,50815_GEN2,85,8.5,6,6,4,840,0,0.1667,,,846,Closed,11.29,23.79,11.29,69.8,YES,9,0,0,0,3.516,0,YES,111273,NG (Natural Gas),1.04,-24.08,35.53,YES,69.8,Piecewise Linear
111274,CHANNELVIEW 13 6,1,50815_GEN3,85,8.5,6,6,4,840,0,0.1667,,,846,Closed,19.97,4.62,19.97,70.1,YES,9,0,0,0,3.282,0,YES,111274,NG (Natural Gas),1.04,-18.43,35.68,YES,70.1,Piecewise Linear
111275,CHANNELVIEW 13 7,1,50815_GEN4,85,8.5,6,6,4,840,0,0.1667,,,846,Closed,8.34,14.3,8.34,70,YES,9,0,0,0,3.282,0,YES,111275,NG (Natural Gas),1.04,-20.08,35.63,YES,70,Piecewise Linear
111276,CHANNELVIEW 13 8,1,50815_GEN5,85,8.5,6,6,4,840,0,0.1667,,,846,Closed,21.65,6.22,21.65,68.4,YES,9,0,0,0,3.136,0,YES,111276,NG (Natural Gas),1.04,-17.9,34.82,YES,68.4,Piecewise Linear
111280,TEXAS CITY 7 2,1,52088_GEN1,85,8.5,6,6,4,840,0,0.1667,,,848,Closed,139,4.4,42.26,139,YES,5,0,0,0,3.285,0,YES,111280,NG (Natural Gas),1.04,-35.41,70.75,YES,139,Piecewise Linear
111281,TEXAS CITY 7 3,1,52088_GEN2,85,8.5,6,6,4,840,0,0.1667,,,848,Closed,37.35,2.77,37.35,104,YES,10,0,0,0,3.08,0,YES,111281,NG (Natural Gas),1.04,-26.52,52.94,YES,104,Piecewise Linear
111282,TEXAS CITY 7 4,1,52088_GEN3,85,8.5,6,6,4,840,0,>12,3,1.5,848,Closed,32.22,2.82,32.22,104,YES,10,0,0,0,3.023,0,YES,111282,NG (Natural Gas),1.04,-29.59,52.94,YES,104,Piecewise Linear
111283,TEXAS CITY 7 5,1,52088_GEN4,85,8.5,6,6,4,840,0,>12,3,1.5,848,Closed,13.48,2.67,13.48,104,YES,10,0,0,0,3.071,0,YES,111283,NG (Natural Gas),1.04,-28.22,52.94,YES,104,Piecewise Linear
111286,CLUTE 5 3,1,52120_G-66,85,8.5,6,6,4,840,0,>12,3,1.5,849,Closed,23.14,2.5,23.14,95.6,YES,5,0,0,0,3.4062,0,YES,111286,NG (Natural Gas),1.04,-32.33,48.66,YES,95.6,Piecewise Linear
111287,CLUTE 5 4,1,52120_G-67,85,8.5,6,6,4,840,0,>12,3,1.5,849,Closed,32.87,1.3,32.87,95.6,YES,5,0,0,0,3.286,0,YES,111287,NG (Natural Gas),1.04,-24.43,48.66,YES,95.6,Piecewise Linear
111288,CLUTE 5 5,1,52120_G-65,85,8.5,6,6,4,840,0,>12,3.5,2,849,Closed,46.3,1.03,46.3,95.2,YES,5,0,0,0,3.153,0,YES,111288,NG (Natural Gas),1.04,-26.93,48.46,YES,95.2,Piecewise Linear
111289,CLUTE 5 6,1,52120_G-61,85,8.5,6,6,4,840,0,>12,3,1.5,849,Closed,26.43,1.13,26.43,68.3,YES,9,0,0,0,3.311,0,YES,111289,NG (Natural Gas),1.04,-19.32,34.76,YES,68.3,Piecewise Linear
111290,CLUTE 5 7,1,52120_G-63,85,8.5,6,6,4,840,0,>12,3,1.5,849,Closed,33.36,0.91,33.36,68.3,YES,9,0,0,0,3.39,0,YES,111290,NG (Natural Gas),1.04,-18.6,34.76,YES,68.3,Piecewise Linear
111291,CLUTE 5 8,1,52120_G-64,85,8.5,6,6,4,840,0,>12,3.5,2,849,Closed,15.74,9.18,15.74,35,YES,6,0,0,0,2.998,0,YES,111291,NG (Natural Gas),1.04,-10.98,17.81,YES,35,Piecewise Linear
111292,CLUTE 5 9,1,52120_G-37,35,3.5,1,1,1,840,0,1,,0.25,849,Closed,53,1.79,24.7,59.2,YES,10,0,0,0,3.158,0,YES,111292,NG (Natural Gas),1.04,-19.35,30.13,YES,59.2,Piecewise Linear
111295,TEXAS CITY 8 3,1,52132_GEN1,85,8.5,6,6,4,840,0,12,3,1.5,850,Closed,16.48,9.8,16.48,69,YES,9,0,0,0,3.336,0,YES,111295,NG (Natural Gas),1.04,-18.16,35.12,YES,69,Piecewise Linear
111296,TEXAS CITY 8 4,1,52132_GEN2,85,8.5,6,6,4,840,0,>12,3,1.5,850,Closed,22.97,3.77,22.97,69,YES,9,0,0,0,3.181,0,YES,111296,NG (Natural Gas),1.04,-21.25,35.12,YES,69,Piecewise Linear
111297,TEXAS CITY 8 5,1,52132_GEN3,85,8.5,6,6,4,840,0,1,,,850,Closed,5.19,15.31,5.19,34,YES,6,0,0,0,2.804,0,YES,111297,NG (Natural Gas),1.04,-9.12,17.31,YES,34,Piecewise Linear
111301,FREEPORT 2 2,1,54676_G84,85,8.5,6,6,4,840,0,0.1667,,,852,Closed,160,3.22,28.92,160,YES,5,0,0,0,3.433,0,YES,111301,NG (Natural Gas),1.04,-54.23,81.44,YES,160,Piecewise Linear
111302,FREEPORT 2 3,1,54676_G81,85,8.5,6,6,4,840,0,0.1667,,,852,Closed,30.33,2.23,30.33,73,YES,5,0,0,0,3.063,0,YES,111302,NG (Natural Gas),1.04,-21.88,37.16,YES,73,Piecewise Linear
111303,FREEPORT 2 4,1,54676_G82,85,8.5,6,6,4,840,0,0.1667,,,852,Closed,20.77,2.56,20.77,73,YES,5,0,0,0,3.35,0,YES,111303,NG (Natural Gas),1.04,-24.81,37.16,YES,73,Piecewise Linear
111304,FREEPORT 2 5,1,54676_G83,85,8.5,6,6,4,840,0,0.1667,,,852,Closed,24.52,2.03,24.52,73,YES,5,0,0,0,3.095,0,YES,111304,NG (Natural Gas),1.04,-21.09,37.16,YES,73,Piecewise Linear
111306,SWEENY 5 2,1,55015_GEN1,110,11,1,1,1,840,0,1,,0.25,853,Closed,26.33,-1.42,26.33,109,YES,5,0,0,0,3.489,0,YES,111306,NG (Natural Gas),1.04,-36.09,55.48,YES,109,Piecewise Linear
111307,SWEENY 5 3,1,55015_GEN2,110,11,1,1,1,840,0,1,,0.25,853,Closed,27.46,55.48,27.46,109,YES,5,0,0,0,3.408,0,YES,111305,NG (Natural Gas),1.041,-30.52,55.48,YES,109,Piecewise Linear
111308,SWEENY 5 4,1,55015_GEN3,110,11,1,1,1,840,0,1,,0.25,853,Closed,46.9,-2.12,46.9,109,YES,5,0,0,0,3.471,0,YES,111308,NG (Natural Gas),1.04,-34.66,55.48,YES,109,Piecewise Linear
111309,SWEENY 5 5,1,55015_GEN4,110,11,1,1,1,840,0,>12,3,1.5,853,Closed,47.78,-3.33,47.78,109,YES,5,0,0,0,3.255,0,YES,111309,NG (Natural Gas),1.04,-37.92,55.48,YES,109,Piecewise Linear
111312,PASADENA 7 3,1,55047_CTG1,85,8.5,6,6,4,840,0,0.1667,,,854,Closed,165,19.44,16.83,165,YES,5,0,0,0,3.311,0,YES,111312,NG (Natural Gas),1.04,-47.1,83.99,YES,165,Piecewise Linear
111313,PASADENA 7 4,1,55047_CTG2,85,8.5,6,6,4,840,0,0.1667,,,854,Closed,165,-51.29,49.54,165,YES,5,0,0,0,2.618,0,YES,111310,NG (Natural Gas),1.037,-51.29,83.99,YES,165,Piecewise Linear
111314,PASADENA 7 5,1,55047_CTG3,85,8.5,6,6,4,840,0,0.1667,,,854,Closed,165,-53.86,71.73,165,YES,5,0,0,0,3.099,0,YES,111310,NG (Natural Gas),1.037,-53.86,83.99,YES,165,Piecewise Linear
111315,PASADENA 7 6,1,55047_STG2,85,8.5,6,6,4,840,0,0.1667,,,854,Closed,165,-47.67,58.52,165,YES,5,0,0,0,3.116,0,YES,111310,NG (Natural Gas),1.037,-47.67,83.99,YES,165,Piecewise Linear
111316,PASADENA 7 7,1,55047_STG1,85,8.5,6,6,4,840,0,1,,,854,Closed,53,6.98,8.55,60,YES,10,0,0,0,2.862,0,YES,111316,NG (Natural Gas),1.04,-16.52,30.54,YES,60,Piecewise Linear
111318,CHANNELVIEW 14 2,1,55187_GT1,85,8.5,6,6,4,840,0,1,,,855,Closed,162,9.88,37.94,162,YES,5,0,0,0,3.643,0,YES,111318,NG (Natural Gas),1.04,-48.35,82.46,YES,162,Piecewise Linear
111319,CHANNELVIEW 14 3,1,55187_GT2,85,8.5,6,6,4,840,0,1,,,855,Closed,162,-46.29,69.97,162,YES,5,0,0,0,3.146,0,YES,111317,NG (Natural Gas),1.037,-46.29,82.46,YES,162,Piecewise Linear
111320,CHANNELVIEW 14 4,1,55187_GT3,85,8.5,6,6,4,840,0,1,,,855,Closed,163,10.93,59.93,163,YES,5,0,0,0,3.255,0,YES,111320,NG (Natural Gas),1.04,-54.72,82.97,YES,163,Piecewise Linear
111321,CHANNELVIEW 14 5,1,55187_GT4,85,8.5,6,6,4,840,0,1,,,855,Closed,161,12.35,42.35,161,YES,5,0,0,0,3.293,0,YES,111321,NG (Natural Gas),1.04,-42.94,81.95,YES,161,Piecewise Linear
111322,CHANNELVIEW 14 6,1,55187_ST1,85,8.5,6,6,4,840,0,1,,,855,Closed,63.29,6.31,63.29,136,YES,6,0,0,0,2.958,0,YES,111322,NG (Natural Gas),1.04,-34.05,69.22,YES,136,Piecewise Linear
111324,GALENA PARK 21 2,1,55299_ST-1,85,8.5,6,6,4,840,0,>12,3.5,2,856,Closed,215,109.43,82.41,215,YES,6,0,0,0,3.552,0,YES,111323,NG (Natural Gas),1.04,-65.43,109.43,YES,215,Piecewise Linear
