"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Program Code","EPA Region","NERC Region","County","County Code","FIPS Code","Source Category","Latitude","Longitude","Owner/Operator","SO2 Phase","NOx Phase","Unit Type","Primary Fuel Type","Secondary Fuel Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Commercial Operation Date","Operating Status","Max Hourly HI Rate (mmBtu/hr)","Associated Generators & Nameplate Capacity (MWe)"
"TX","Mountain Creek Generating Station",3453,"8",,2018,"ARP, CSOSG2",6,"ERCOT","Dallas County","TX113","113","Electric Utility",32.7253,-96.9361,"Mountain Creek Power, LLC (Owner),Mountain Creek Power, LLC (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"1967-07-11","Operating",6204,"8 (581)"
"TX","Newman Power Station",3456,"1",,2018,"ARP, CSOSG2",6,"WECC","El Paso County","TX141","141","Electric Utility",31.9858,-106.4322,"El Paso Electric Company (Owner),El Paso Electric Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Diesel Oil",,,,,"1960-04-01","Operating",858,"1 (81.6)"
"TX","Newman Power Station",3456,"2",,2018,"ARP, CSOSG2",6,"WECC","El Paso County","TX141","141","Electric Utility",31.9858,-106.4322,"El Paso Electric Company (Owner),El Paso Electric Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Diesel Oil",,,,,"1963-04-01","Operating",858,"2 (81.6)"
"TX","Newman Power Station",3456,"3",,2018,"ARP, CSOSG2",6,"WECC","El Paso County","TX141","141","Electric Utility",31.9858,-106.4322,"El Paso Electric Company (Owner),El Paso Electric Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas","Diesel Oil",,,,,"1966-01-01","Operating",1030,"3 (115.2)"
"TX","Newman Power Station",3456,"**4",,2018,"ARP, CSOSG2",6,"WECC","El Paso County","TX141","141","Electric Utility",31.9858,-106.4322,"El Paso Electric Company (Owner),El Paso Electric Company (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Water Injection",,,"1975-01-01","Operating",1022,"4 (120), CT1 (85)"
"TX","Newman Power Station",3456,"**5",,2018,"ARP, CSOSG2",6,"WECC","El Paso County","TX141","141","Electric Utility",31.9858,-106.4322,"El Paso Electric Company (Owner),El Paso Electric Company (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Water Injection",,,"1975-01-01","Operating",1022,"4 (120), CT2 (85)"
"TX","Newman Power Station",3456,"GT-6A",,2018,"ARP, CSOSG2",6,"WECC","El Paso County","TX141","141","Electric Utility",31.9858,-106.4322,"El Paso Electric Company (Owner) (Started Jan 11, 2018),El Paso Electric Company (Operator) (Started Jan 11, 2018)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"2009-05-07","Operating",1120,"5CA1 (165), 5CT1 (86.5)"
"TX","Newman Power Station",3456,"GT-6B",,2018,"ARP, CSOSG2",6,"WECC","El Paso County","TX141","141","Electric Utility",31.9858,-106.4322,"El Paso Electric Company (Owner) (Started Jan 11, 2018),El Paso Electric Company (Operator) (Started Jan 11, 2018)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"2009-05-16","Operating",1120,"5CT2 (86.5), 5CA1 (165)"
"TX","Lewis Creek",3457,"1",,2018,"ARP, CSOSG2",6,"SPP","Montgomery County","TX339","339","Electric Utility",30.4364,-95.5215,"Entergy Corporation (Owner),Entergy Corporation (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"1970-12-14","Operating",2730,"1 (271.4)"
"TX","Lewis Creek",3457,"2",,2018,"ARP, CSOSG2",6,"SPP","Montgomery County","TX339","339","Electric Utility",30.4364,-95.5215,"Entergy Corporation (Owner),Entergy Corporation (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"1971-05-11","Operating",3050,"2 (271.4)"
"TX","Sabine",3459,"1",,2018,"ARP, CSOSG2",6,,"Orange County","TX361","361","Electric Utility",30.0242,-93.875,"Entergy Corporation (Owner),Entergy Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas",,,,,,"1962-01-01","Operating",2260,"1 (239.4)"
"TX","Sabine",3459,"3",,2018,"ARP, CSOSG2",6,,"Orange County","TX361","361","Electric Utility",30.0242,-93.875,"Entergy Corporation (Owner),Entergy Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas",,,"Low NOx Burner Technology w/ Separated OFA",,,"1966-12-01","Operating",4225,"3 (473.4)"
"TX","Sabine",3459,"4",,2018,"ARP, CSOSG2",6,,"Orange County","TX361","361","Electric Utility",30.0242,-93.875,"Entergy Corporation (Owner),Entergy Corporation (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Combustion Modification/Fuel Reburning",,,"1974-08-01","Operating",5488,"4 (591.6)"
"TX","Sabine",3459,"5",,2018,"ARP, CSOSG2",6,,"Orange County","TX361","361","Electric Utility",30.0242,-93.875,"Entergy Corporation (Owner),Entergy Corporation (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas",,,"Low NOx Burner Technology w/ Closed-coupled OFA",,,"1979-12-21","Operating",5100,"5 (507.4)"
"TX","Cedar Bayou",3460,"CBY1",,2018,"ARP, CSOSG2",6,"ERCOT","Chambers County","TX071","071","Electric Utility",29.7483,-94.9272,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"1970-12-11","Operating",8187,"1 (765)"
"TX","Cedar Bayou",3460,"CBY2",,2018,"ARP, CSOSG2",6,"ERCOT","Chambers County","TX071","071","Electric Utility",29.7483,-94.9272,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"1972-03-15","Operating",8179,"2 (765)"
"TX","Greens Bayou",3464,"GBY5",,2018,"ARP",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.8208,-95.2194,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,"Other",,,"1973-06-16","Operating (Retired 01/17/2018)",4545,"5 (446.4)"
"TX","Greens Bayou",3464,"GBY73",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.8208,-95.2194,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"1976-12-16","Operating",1002,"73 (72)"
"TX","Greens Bayou",3464,"GBY74",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.8208,-95.2194,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"1976-12-16","Operating",1002,"74 (72)"
"TX","Greens Bayou",3464,"GBY81",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.8208,-95.2194,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"1976-12-16","Operating",1002,"81 (72)"
"TX","Greens Bayou",3464,"GBY82",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.8208,-95.2194,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"1976-12-16","Operating",1002,"82 (72)"
"TX","Greens Bayou",3464,"GBY83",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.8208,-95.2194,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"1976-12-16","Operating",1002,"83 (72)"
"TX","Greens Bayou",3464,"GBY84",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.8208,-95.2194,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Water Injection",,,"1976-12-16","Operating",1002,"84 (72)"
"TX","Sam Bertron",3468,"SRB1",,2018,"ARP, CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.7268,-95.06,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Overfire Air",,,"1958-03-01","Operating",2336,"ST1 (187.9)"
"TX","Sam Bertron",3468,"SRB2",,2018,"ARP, CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.7268,-95.06,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Overfire Air",,,"1956-04-01","Operating",2196,"ST2 (187.9)"
"TX","Sam Bertron",3468,"SRB3",,2018,"ARP",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.7268,-95.06,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas",,,"Overfire Air",,,"1959-04-01","Operating (Retired 01/17/2018)",3146,"3 (225.3)"
"TX","Sam Bertron",3468,"SRB4",,2018,"ARP",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.7268,-95.06,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas",,,"Overfire Air",,,"1960-03-15","Operating (Retired 01/17/2018)",3146,"4 (225.3)"
"TX","T H Wharton",3469,"THW31",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combined cycle","Pipeline Natural Gas",,,"Combustion Modification/Fuel Reburning",,,"1972-07-31","Operating",952,"31 (51.3), 3 (113.1)"
"TX","T H Wharton",3469,"THW32",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combined cycle","Pipeline Natural Gas",,,"Combustion Modification/Fuel Reburning",,,"1972-07-31","Operating",952,"3 (113.1), 32 (51.3)"
"TX","T H Wharton",3469,"THW33",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combined cycle","Pipeline Natural Gas",,,,,,"1972-07-31","Operating",952,"33 (51.3), 3 (113.1)"
"TX","T H Wharton",3469,"THW34",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combined cycle","Pipeline Natural Gas",,,,,,"1972-07-31","Operating",952,"3 (113.1), 34 (51.3)"
"TX","T H Wharton",3469,"THW41",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combined cycle","Pipeline Natural Gas",,,,,,"1972-07-31","Operating",952,"41 (51.3), 4 (113.1)"
"TX","T H Wharton",3469,"THW42",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combined cycle","Pipeline Natural Gas",,,,,,"1972-07-31","Operating",952,"4 (113.1), 42 (51.3)"
"TX","T H Wharton",3469,"THW43",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combined cycle","Pipeline Natural Gas",,,,,,"1974-08-16","Operating",965,"4 (113.1), 43 (56.7)"
"TX","T H Wharton",3469,"THW44",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combined cycle","Pipeline Natural Gas",,,"Combustion Modification/Fuel Reburning",,,"1974-08-16","Operating",952,"44 (56.7), 4 (113.1)"
"TX","T H Wharton",3469,"THW51",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"1975-11-21","Operating",1086.8,"51 (85)"
"TX","T H Wharton",3469,"THW52",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"1975-11-21","Operating",1086.8,"52 (85)"
"TX","T H Wharton",3469,"THW53",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"1975-11-21","Operating",1086.8,"53 (85)"
"TX","T H Wharton",3469,"THW54",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"1975-11-21","Operating",1086.8,"54 (85)"
"TX","T H Wharton",3469,"THW55",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"1975-11-21","Operating",1086.8,"55 (85)"
"TX","T H Wharton",3469,"THW56",,2018,"CSOSG2",6,"ERCOT","Harris County","TX201","201","Electric Utility",29.9414,-95.5333,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)",,,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"1975-11-21","Operating",1086.8,"56 (85)"
"TX","W A Parish",3470,"WAP1",,2018,"ARP, CSOSG2",6,"ERCOT","Fort Bend County","TX157","157","Electric Utility",29.4783,-95.6358,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Overfire Air",,,"1958-06-01","Operating",2047,"1 (187.9)"
"TX","W A Parish",3470,"WAP2",,2018,"ARP, CSOSG2",6,"ERCOT","Fort Bend County","TX157","157","Electric Utility",29.4783,-95.6358,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Overfire Air",,,"1958-12-20","Operating",1968,"2 (187.9)"
"TX","W A Parish",3470,"WAP3",,2018,"ARP, CSOSG2",6,"ERCOT","Fort Bend County","TX157","157","Electric Utility",29.4783,-95.6358,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Overfire Air",,,"1961-03-15","Operating",3003,"3 (299.2)"
"TX","W A Parish",3470,"WAP4",,2018,"ARP, CSOSG2",6,"ERCOT","Fort Bend County","TX157","157","Electric Utility",29.4783,-95.6358,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas",,,"Overfire Air",,,"1968-06-01","Operating",5950,"4 (580.5)"
"TX","W A Parish",3470,"WAP5",,2018,"ARP, CSOSG2, MATS",6,"ERCOT","Fort Bend County","TX157","157","Electric Utility",29.4783,-95.6358,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2","Early Election","Dry bottom wall-fired boiler","Coal","Pipeline Natural Gas",,"Selective Catalytic Reduction","Baghouse","Halogenated PAC Sorbent Injection","1977-12-27","Operating",8545,"5 (734.1)"
"TX","W A Parish",3470,"WAP6",,2018,"ARP, CSOSG2, MATS",6,"ERCOT","Fort Bend County","TX157","157","Electric Utility",29.4783,-95.6358,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2","Early Election","Dry bottom wall-fired boiler","Coal","Pipeline Natural Gas",,"Selective Catalytic Reduction","Baghouse","Halogenated PAC Sorbent Injection","1978-12-27","Operating",10860,"6 (734.1)"
"TX","W A Parish",3470,"WAP7",,2018,"ARP, CSOSG2, MATS",6,"ERCOT","Fort Bend County","TX157","157","Electric Utility",29.4783,-95.6358,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2","Early Election","Tangentially-fired","Coal","Pipeline Natural Gas",,"Selective Catalytic Reduction","Baghouse","Halogenated PAC Sorbent Injection","1980-06-02","Operating",8351,"7 (614.6)"
"TX","W A Parish",3470,"WAP8","MS1, MS2",2018,"ARP, CSOSG2, MATS",6,"ERCOT","Fort Bend County","TX157","157","Electric Utility",29.4783,-95.6358,"NRG Energy, Inc (Owner),NRG Energy, Inc (Operator)","Phase 2","Early Election","Tangentially-fired","Coal","Pipeline Natural Gas","Sodium Based,Wet Lime FGD","Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Selective Catalytic Reduction,Ammonia Injection","Baghouse","Halogenated PAC Sorbent Injection","1982-12-01","Operating",9650,"8 (614.6)"
"TX","Knox Lee Power Plant",3476,"2",,2018,"ARP, CSOSG2",6,"ERCOT","Gregg County","TX183","183","Electric Utility",32.3766,-94.6415,"Southwestern Electric Power Company (Owner),Southwestern Electric Power Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,,,,"1950-11-01","Operating",411,"2 (30)"
"TX","Knox Lee Power Plant",3476,"3",,2018,"ARP, CSOSG2",6,"ERCOT","Gregg County","TX183","183","Electric Utility",32.3766,-94.6415,"Southwestern Electric Power Company (Owner),Southwestern Electric Power Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,,,,"1952-05-01","Operating",411,"3 (30)"
"TX","Knox Lee Power Plant",3476,"4",,2018,"ARP, CSOSG2",6,"ERCOT","Gregg County","TX183","183","Electric Utility",32.3766,-94.6415,"Southwestern Electric Power Company (Owner),Southwestern Electric Power Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,,,,"1956-02-01","Operating",848,"4 (75)"
"TX","Knox Lee Power Plant",3476,"5",,2018,"ARP, CSOSG2",6,"ERCOT","Gregg County","TX183","183","Electric Utility",32.3766,-94.6415,"Southwestern Electric Power Company (Owner),Southwestern Electric Power Company (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Residual Oil",,,,,"1974-04-25","Operating",3368,"5 (323.7)"
"TX","Lone Star Power Plant",3477,"1",,2018,"ARP, CSOSG2",6,"ERCOT","Morris County","TX343","343","Electric Utility",32.9217,-94.7158,"Southwestern Electric Power Company (Owner),Southwestern Electric Power Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,,,,"1954-03-01","Operating",600,"1 (40)"
"TX","Wilkes Power Plant",3478,"1",,2018,"ARP, CSOSG2",6,"ERCOT","Marion County","TX315","315","Electric Utility",32.8486,-94.5469,"Southwestern Electric Power Company (Owner),Southwestern Electric Power Company (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Other Oil",,"Combustion Modification/Fuel Reburning",,,"1964-03-01","Operating",1562,"1 (179.5)"
"TX","Wilkes Power Plant",3478,"2",,2018,"ARP, CSOSG2",6,"ERCOT","Marion County","TX315","315","Electric Utility",32.8486,-94.5469,"Southwestern Electric Power Company (Owner),Southwestern Electric Power Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Low NOx Burner Technology (Dry Bottom only)",,,"1970-03-01","Operating",3052,"2 (351)"
"TX","Wilkes Power Plant",3478,"3",,2018,"ARP, CSOSG2",6,"ERCOT","Marion County","TX315","315","Electric Utility",32.8486,-94.5469,"Southwestern Electric Power Company (Owner),Southwestern Electric Power Company (Operator)","Phase 2",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",,,"Low NOx Burner Technology (Dry Bottom only)",,,"1971-09-01","Operating",3052,"3 (351)"
"TX","Jones Station",3482,"151B",,2018,"ARP, CSOSG2",6,"SPP","Lubbock County","TX303","303","Electric Utility",33.5239,-101.7392,"Southwestern Public Service Company (Owner),Southwestern Public Service Company (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Diesel Oil",,"Overfire Air",,,"1971-07-01","Operating",3053,"1 (248)"
"TX","Jones Station",3482,"152B",,2018,"ARP, CSOSG2",6,"SPP","Lubbock County","TX303","303","Electric Utility",33.5239,-101.7392,"Southwestern Public Service Company (Owner),Southwestern Public Service Company (Operator)","Phase 2",,"Tangentially-fired","Pipeline Natural Gas","Diesel Oil, Other Oil",,"Low NOx Burner Technology w/ Separated OFA",,,"1974-06-01","Operating",3377,"2 (248)"
"TX","Jones Station",3482,"153T",,2018,"ARP, CSOSG2",6,"SPP","Lubbock County","TX303","303","Electric Utility",33.5239,-101.7392,"Southwestern Public Service Company (Owner),Southwestern Public Service Company (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"2011-06-18","Operating",2099,"3 (203)"
"TX","Jones Station",3482,"154T",,2018,"ARP, CSOSG2",6,"SPP","Lubbock County","TX303","303","Electric Utility",33.5239,-101.7392,"Southwestern Public Service Company (Owner),Southwestern Public Service Company (Operator)","Phase 2",,"Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"2013-04-10","Operating",2099,"4 (203)"
