Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Sulfur Content of Fuel Used in EIA Model (%),EIA Model Estimates of SO2 Emissions (Tons),EIA Model Estimates of Plant Level SO2 Emissions (Tons),CEMS Reported Plant Level SO2 Emissions (Tons),Selected SO2 Emissions (Tons),Selected SO2 Emissions (Metric Tonnes),NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
3452,Lake Hubbard,TX,ELECTRIC POWER,2.0,ST,NG,GAS,318791000.0,0.0,3874766.0,3874766.0,0.0,3874766.0,Mcf, ,1.1624298,1.1624298,1.101,1.101,0.9988206477,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3453,Mountain Creek,TX,ELECTRIC POWER,2.0,ST,NG,GAS,412977000.0,0.0,5068139.0,5068139.0,0.0,5063077.0,Mcf, ,1.5189231,1.5189231,1.593,1.593,1.4451601197,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3456,Newman,TX,ELECTRIC POWER,1.0,CA,NG,GAS,817677000.0,0.0,0.0,0.0,0.0,0.0,Mcf, ,0.0,9.41470476,9.212,0.0,0.0,WECC,EPE,El Paso Electric Company,Southwest
3456,Newman,TX,ELECTRIC POWER,1.0,CT,NG,GAS,1430031000.0,0.0,19793756.0,19793756.0,0.0,19102451.0,Mcf, ,5.7307353,9.41470476,9.212,5.6073488154,5.0869534749,WECC,EPE,El Paso Electric Company,Southwest
3456,Newman,TX,ELECTRIC POWER,1.0,ST,NG,GAS,914860280.0,0.0,10976472.0,10976472.0,0.0,10538112.0,Mcf, ,3.1614336,9.41470476,9.212,3.0933658639,2.8062831025,WECC,EPE,El Paso Electric Company,Southwest
3456,Newman,TX,ELECTRIC POWER,1.0,ST,DFO,PET,320720.0,0.0,3764.0,3764.0,0.0,649.0,Barrels,0.0027,0.52253586,9.41470476,9.212,0.5112853207,0.4638350002,WECC,EPE,El Paso Electric Company,Southwest
3457,Lewis Creek,TX,ELECTRIC POWER,1.0,ST,NG,GAS,2192164000.0,0.0,23718121.0,23718121.0,0.0,23571381.0,Mcf, ,7.0714143,7.0714143,6.627,6.627,6.0119749614,SERC,MISO,"Midcontinent Independent System Operator, Inc.",Midwest
3459,Sabine,TX,ELECTRIC POWER,1.0,ST,NG,GAS,3249193563.0,0.0,39782774.0,39782774.0,0.0,38911327.0,Mcf, ,11.6733981,11.68789062,10.38,10.3671292124,9.4049979247,SERC,MISO,"Midcontinent Independent System Operator, Inc.",Midwest
3459,Sabine,TX,ELECTRIC POWER,1.0,ST,DFO,PET,8437.0,0.0,108.0,108.0,0.0,18.0,Barrels,0.0027,0.01449252,11.68789062,10.38,0.0128707876,0.0116763019,SERC,MISO,"Midcontinent Independent System Operator, Inc.",Midwest
3460,Cedar Bayou,TX,ELECTRIC POWER,2.0,ST,NG,GAS,2185549000.0,0.0,23770335.0,23770335.0,0.0,23529509.0,Mcf, ,7.0588527,7.0588527,6.898,6.898,6.2578245487,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3464,Greens Bayou,TX,ELECTRIC POWER,2.0,GT,NG,GAS,158574000.0,0.0,2429281.0,2429281.0,0.0,2335847.0,Mcf, ,0.7007541,0.7007541, ,0.7007541,0.6357199492,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3469,T H Wharton,TX,ELECTRIC POWER,2.0,CA,NG,GAS,228615000.0,0.0,0.0,0.0,0.0,0.0,Mcf, ,0.0,2.9809812, ,0.0,0.0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3469,T H Wharton,TX,ELECTRIC POWER,2.0,CT,NG,GAS,583311738.0,0.0,8050750.0,8050750.0,0.0,7886312.0,Mcf, ,2.3658936,2.9809812, ,2.3658936,2.146324594,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3469,T H Wharton,TX,ELECTRIC POWER,2.0,GT,NG,GAS,145714557.0,0.0,2087847.0,2087847.0,0.0,2050292.0,Mcf, ,0.6150876,2.9809812, ,0.6150876,0.5580038102,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3470,W A Parish,TX,ELECTRIC POWER,2.0,GT,NG,GAS,1125000.0,0.0,24384.0,24384.0,0.0,23445.0,Mcf, ,0.0070335,29469.405935032,28811.13,0.0068763885,0.0062382187,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3470,W A Parish,TX,ELECTRIC POWER,2.0,ST,SUB,COAL,13143812746.0,0.0,140726764.0,140726764.0,0.0,8605025.0,Tons,0.00260915389554359,29465.7217855,29469.405935032,28811.13,28807.5281455432,26134.0180944781,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3470,W A Parish,TX,ELECTRIC POWER,2.0,ST,NG,GAS,1183280254.0,0.0,12871665.0,12871665.0,0.0,12382410.0,Mcf, ,3.677116032,29469.405935032,28811.13,3.5949780683,3.2613427092,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3476,Knox Lee,TX,ELECTRIC POWER,1.0,ST,NG,GAS,107854000.0,0.0,1341220.0,1341220.0,0.0,1313932.0,Mcf, ,0.3941796,0.3941796,0.431,0.431,0.391000635,MRO,SWPP,Southwest Power Pool,Central
3477,Lone Star,TX,ELECTRIC POWER,1.0,ST,NG,GAS,11483000.0,0.0,174129.0,174129.0,0.0,170715.0,Mcf, ,0.0512145,0.0512145,0.049,0.049,0.0444525084,MRO,SWPP,Southwest Power Pool,Central
3478,Wilkes,TX,ELECTRIC POWER,1.0,ST,NG,GAS,630912000.0,0.0,7316429.0,7316429.0,0.0,7145364.0,Mcf, ,2.1436092,2.1436092,2.279,2.279,2.0674952372,MRO,SWPP,Southwest Power Pool,Central
3482,Jones,TX,ELECTRIC POWER,1.0,GT,NG,GAS,728371000.0,0.0,7549700.0,7549700.0,0.0,7354833.0,Mcf, ,2.2064499,8.03091786,8.124,2.2320236989,2.0248786165,MRO,SWPP,Southwest Power Pool,Central
3482,Jones,TX,ELECTRIC POWER,1.0,ST,NG,GAS,1833603629.0,0.0,19787403.0,19787403.0,0.0,19296806.0,Mcf, ,5.7890418,8.03091786,8.124,5.8561395351,5.3126549352,MRO,SWPP,Southwest Power Pool,Central
3482,Jones,TX,ELECTRIC POWER,1.0,ST,DFO,PET,23371.0,0.0,252.0,252.0,0.0,44.0,Barrels,0.0027,0.03542616,8.03091786,8.124,0.035836766,0.0325109008,MRO,SWPP,Southwest Power Pool,Central
3484,Nichols,TX,ELECTRIC POWER,1.0,ST,NG,GAS,1164272000.0,0.0,13231117.0,13231117.0,0.0,12794408.0,Mcf, ,3.8383224,3.8383224,3.951,3.951,3.5843236868,MRO,SWPP,Southwest Power Pool,Central
3485,Plant X,TX,ELECTRIC POWER,1.0,ST,NG,GAS,865492515.0,0.0,10426930.0,10426930.0,0.0,10173152.0,Mcf, ,3.0519456,3.0760998,3.021,2.9972784555,2.7191131775,MRO,SWPP,Southwest Power Pool,Central
3485,Plant X,TX,ELECTRIC POWER,1.0,ST,DFO,PET,16485.0,0.0,174.0,174.0,0.0,30.0,Barrels,0.0027,0.0241542,3.0760998,3.021,0.0237215445,0.021520044,MRO,SWPP,Southwest Power Pool,Central
3490,Graham,TX,ELECTRIC POWER,2.0,ST,NG,GAS,277844000.0,0.0,3240494.0,3240494.0,0.0,3240494.0,Mcf, ,0.9721482,0.9721482,0.937,0.937,0.8500408237,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3491,Handley,TX,ELECTRIC POWER,2.0,ST,NG,GAS,615576000.0,0.0,8937150.0,8937150.0,0.0,8634930.0,Mcf, ,2.590479,2.590479,2.374,2.374,2.1536786719,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3492,Morgan Creek,TX,ELECTRIC POWER,2.0,GT,NG,GAS,15383820.0,0.0,205662.0,205662.0,0.0,203625.0,Mcf, ,0.0610875,1.9344555, ,0.0610875,0.0554182165,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3492,Morgan Creek,TX,ELECTRIC POWER,2.0,GT,DFO,PET,1023180.0,0.0,13678.0,13678.0,0.0,2360.0,Barrels,0.0027,1.873368,1.9344555, ,1.873368,1.6995083008,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3494,Permian Basin,TX,ELECTRIC POWER,2.0,GT,NG,GAS,699683786.0,0.0,9784503.0,9784503.0,0.0,9499516.0,Mcf, ,2.8498548,6.2631948, ,2.8498548,2.5853713145,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3494,Permian Basin,TX,ELECTRIC POWER,2.0,GT,DFO,PET,1782214.0,0.0,24925.0,24925.0,0.0,4300.0,Barrels,0.0027,3.41334,6.2631948, ,3.41334,3.0965617346,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3504,Stryker Creek,TX,ELECTRIC POWER,2.0,IC,DFO,PET,0.0,0.0,930.0,930.0,0.0,150.0,Barrels,0.0027,0.11907,1.139826,0.827,0.0863911597,0.078373546,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3504,Stryker Creek,TX,ELECTRIC POWER,2.0,ST,NG,GAS,253181000.0,0.0,3402520.0,3402520.0,0.0,3402520.0,Mcf, ,1.020756,1.139826,0.827,0.7406088403,0.6718759324,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3507,Trinidad (TX),TX,ELECTRIC POWER,2.0,IC,DFO,PET,0.0,0.0,271.0,271.0,0.0,44.0,Barrels,0.0027,0.0349272,0.2925216,0.293,0.0349843212,0.031737568,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3507,Trinidad (TX),TX,ELECTRIC POWER,2.0,ST,NG,GAS,65586000.0,0.0,858648.0,858648.0,0.0,858648.0,Mcf, ,0.2575944,0.2925216,0.293,0.2580156788,0.2340702883,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3548,Decker Creek,TX,ELECTRIC POWER,1.0,GT,NG,GAS,38404000.0,0.0,502899.0,502899.0,0.0,493036.0,Mcf, ,0.1479108,2.4366615,3.574,0.2169497894,0.1968155578,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3548,Decker Creek,TX,ELECTRIC POWER,1.0,ST,NG,GAS,653408000.0,0.0,7777331.0,7777331.0,0.0,7629169.0,Mcf, ,2.2887507,2.4366615,3.574,3.3570502106,3.0454959726,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3559,Silas Ray,TX,ELECTRIC POWER,1.0,CA,NG,GAS,7639000.0,0.0,0.0,0.0,0.0,0.0,Mcf, ,0.0,0.2092668,0.22,0.0,0.0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3559,Silas Ray,TX,ELECTRIC POWER,1.0,CT,NG,GAS,25793000.0,0.0,345605.0,345605.0,0.0,337136.0,Mcf, ,0.1011408,0.2092668,0.22,0.1063282661,0.0964603702,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3559,Silas Ray,TX,ELECTRIC POWER,1.0,GT,NG,GAS,32592000.0,0.0,369431.0,369431.0,0.0,360420.0,Mcf, ,0.108126,0.2092668,0.22,0.1136717339,0.1031223205,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3561,Bryan (TX),TX,ELECTRIC POWER,1.0,GT,NG,GAS,1785000.0,0.0,31094.0,31094.0,0.0,31094.0,Mcf, ,0.0093282,0.0093282, ,0.0093282,0.0084624875,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3576,Ray Olinger,TX,ELECTRIC POWER,1.0,GT,NG,GAS,9167000.0,0.0,123406.0,123406.0,0.0,120987.0,Mcf, ,0.0362961,0.3504582,0.347,0.0359379427,0.0326026877,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3576,Ray Olinger,TX,ELECTRIC POWER,1.0,ST,NG,GAS,82576000.0,0.0,1068151.0,1068151.0,0.0,1047207.0,Mcf, ,0.3141621,0.3504582,0.347,0.3110620573,0.2821936472,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3601,Sim Gideon,TX,ELECTRIC POWER,1.0,ST,NG,GAS,742860000.0,0.0,7963747.0,7963747.0,0.0,7761650.0,Mcf, ,2.328495,2.328495,2.346,2.346,2.1282772385,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3604,J Robert Massengale,TX,ELECTRIC POWER,1.0,CA,NG,GAS,24255000.0,0.0,44.0,44.0,0.0,43.0,Mcf, ,1.29e-05,0.4272174,0.426,1.28632e-05,1.16695e-05,MRO,SWPP,Southwest Power Pool,Central
3604,J Robert Massengale,TX,ELECTRIC POWER,1.0,CT,NG,GAS,125615000.0,0.0,1460331.0,1460331.0,0.0,1424015.0,Mcf, ,0.4272045,0.4272174,0.426,0.4259871368,0.3864529953,MRO,SWPP,Southwest Power Pool,Central
3609,Leon Creek,TX,ELECTRIC POWER,1.0,GT,NG,GAS,165110000.0,0.0,1756159.0,1756159.0,0.0,1737051.0,Mcf, ,0.5211153,0.5211153,0.516,0.516,0.4681121292,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3611,O W Sommers,TX,ELECTRIC POWER,1.0,ST,NG,GAS,1108627000.0,0.0,12680366.0,12680366.0,0.0,12398865.0,Mcf, ,3.7196595,3.7196595,3.957,3.957,3.5897668511,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3612,V H Braunig,TX,ELECTRIC POWER,1.0,GT,NG,GAS,156061112.0,0.0,1662812.0,1662812.0,0.0,1642720.0,Mcf, ,0.492816,3.765717,10.785,1.4114232588,1.2804347808,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3612,V H Braunig,TX,ELECTRIC POWER,1.0,GT,DFO,PET,261888.0,0.0,2838.0,2838.0,0.0,473.0,Barrels,0.0027,0.3754674,3.765717,10.785,1.0753372888,0.9755395888,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3612,V H Braunig,TX,ELECTRIC POWER,1.0,ST,NG,GAS,863658000.0,0.0,9865932.0,9865932.0,0.0,9658112.0,Mcf, ,2.8974336,3.765717,10.785,8.2982394524,7.5281134468,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3628,R W Miller,TX,ELECTRIC POWER,1.0,GT,NG,GAS,103985334.0,0.0,1621922.0,1621922.0,0.0,1610773.0,Mcf, ,0.4832319,4.29993558,1.897,0.2131871274,0.1934020933,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3628,R W Miller,TX,ELECTRIC POWER,1.0,GT,DFO,PET,613666.0,0.0,8535.0,8535.0,0.0,1469.0,Barrels,0.0027,1.1660922,4.29993558,1.897,0.5144441963,0.4667007133,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3628,R W Miller,TX,ELECTRIC POWER,1.0,ST,NG,GAS,289557170.0,0.0,3580800.0,3580800.0,0.0,3556337.0,Mcf, ,1.0669011,4.29993558,1.897,0.4706841182,0.4270018309,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3628,R W Miller,TX,ELECTRIC POWER,1.0,ST,DFO,PET,879830.0,0.0,11428.0,11428.0,0.0,1967.0,Barrels,0.0027,1.58371038,4.29993558,1.897,0.6986845582,0.6338424732,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3630,Pearsall,TX,ELECTRIC POWER,1.0,IC,NG,GAS,395355000.0,0.0,3636038.0,3636038.0,0.0,3398167.0,Mcf, ,1.0194501,1.0194501, ,1.0194501,0.9248390638,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3631,Sam Rayburn,TX,ELECTRIC POWER,1.0,CA,NG,GAS,49558000.0,0.0,0.0,0.0,0.0,0.0,Mcf, ,0.0,0.9573996,0.609,0.0,0.0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3631,Sam Rayburn,TX,ELECTRIC POWER,1.0,CT,NG,GAS,178548000.0,0.0,2173230.0,2173230.0,0.0,2042137.0,Mcf, ,0.6126411,0.9573996,0.609,0.3896997971,0.3535333368,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3631,Sam Rayburn,TX,ELECTRIC POWER,1.0,GT,NG,GAS,807000.0,0.0,40679.0,40679.0,0.0,37875.0,Mcf, ,0.0113625,0.9573996,0.609,0.0072276639,0.0065568937,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3631,Sam Rayburn,TX,ELECTRIC POWER,1.0,IC,DFO,PET,230000.0,0.0,2451.0,2451.0,0.0,420.0,Barrels,0.0027,0.333396,0.9573996,0.609,0.212072539,0.1923909453,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4195,Powerlane Plant,TX,ELECTRIC POWER,1.0,IC,NG,GAS,6492000.0,0.0,132780.0,132780.0,0.0,126456.0,Mcf, ,0.0379368,0.0815424,0.042,0.0195400871,0.0177266507,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4195,Powerlane Plant,TX,ELECTRIC POWER,1.0,ST,NG,GAS,7936000.0,0.0,148683.0,148683.0,0.0,145352.0,Mcf, ,0.0436056,0.0815424,0.042,0.0224599129,0.0203754993,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4266,Spencer,TX,ELECTRIC POWER,1.0,ST,NG,GAS,29249000.0,0.0,399741.0,399741.0,0.0,391903.0,Mcf, ,0.1175709,0.1175709,0.123,0.123,0.111584868,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4937,Thomas C Ferguson,TX,ELECTRIC POWER,1.0,CA,NG,GAS,1187142000.0,0.0,0.0,0.0,0.0,0.0,Mcf, ,0.0,6.3942969,6.476,0.0,0.0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4937,Thomas C Ferguson,TX,ELECTRIC POWER,1.0,CT,NG,GAS,2030568000.0,0.0,21827976.0,21827976.0,0.0,21314323.0,Mcf, ,6.3942969,6.3942969,6.476,6.476,5.8749886601,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4939,Barney M Davis,TX,ELECTRIC POWER,2.0,CA,NG,GAS,101094000.0,0.0,932504.0,932504.0,0.0,914439.0,Mcf, ,0.2743317,3.7226088,3.812,0.2809192415,0.2548482641,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4939,Barney M Davis,TX,ELECTRIC POWER,2.0,CT,NG,GAS,1260718000.0,0.0,9475438.0,9475438.0,0.0,9287164.0,Mcf, ,2.7861492,3.7226088,3.812,2.8530531466,2.5882728355,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
4939,Barney M Davis,TX,ELECTRIC POWER,2.0,ST,NG,GAS,185939000.0,0.0,2248449.0,2248449.0,0.0,2207093.0,Mcf, ,0.6621279,3.7226088,3.812,0.6780276119,0.6151026145,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6139,Welsh,TX,ELECTRIC POWER,1.0,ST,SUB,COAL,4535993218.0,0.0,51502630.0,51502630.0,0.0,2992203.0,Tons,0.00212946380977493,11150.629,11164.24633282,11177.79,11164.1561476033,10128.0560170582,MRO,SWPP,Southwest Power Pool,Central
6139,Welsh,TX,ELECTRIC POWER,1.0,ST,DFO,PET,8700782.0,0.0,99446.0,99446.0,0.0,16913.0,Barrels,0.0027,13.61733282,11164.24633282,11177.79,13.6338523967,12.3685497566,MRO,SWPP,Southwest Power Pool,Central
6146,Martin Lake,TX,ELECTRIC POWER,2.0,ST,LIG,COAL,4135696415.0,0.0,47069837.0,47069837.0,0.0,3656392.0,Tons,0.0079382782261858,20049.766353,37886.625860918,46549.39,24634.1386219201,22347.9439552935,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6146,Martin Lake,TX,ELECTRIC POWER,2.0,ST,SUB,COAL,8005699587.0,0.0,90691799.0,90691799.0,0.0,5513160.0,Tons,0.00401041834447032,17830.461446,37886.625860918,46549.39,21907.3904014768,19874.2541971122,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6146,Martin Lake,TX,ELECTRIC POWER,2.0,ST,DFO,PET,8633998.0,0.0,99007.0,99007.0,0.0,17070.0,Barrels,0.0027,6.3980619179,37886.625860918,46549.39,7.8609766031,7.1314311921,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6178,Coleto Creek,TX,ELECTRIC POWER,2.0,ST,RC,COAL,270852786.0,0.0,2984313.0,2984313.0,0.0,174415.0,Tons, ,3313.885,13184.41112504,11264.079,2831.2119580389,2568.4586392443,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6178,Coleto Creek,TX,ELECTRIC POWER,2.0,ST,SUB,COAL,2953744496.0,0.0,31549659.0,31549659.0,0.0,1835683.0,Tons,0.00307201673709458,9868.685575,13184.41112504,11264.079,8431.2945711956,7648.8202587277,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6178,Coleto Creek,TX,ELECTRIC POWER,2.0,ST,DFO,PET,1182718.0,0.0,12576.0,12576.0,0.0,2286.0,Barrels,0.0027,1.84055004,13184.41112504,11264.079,1.5724707655,1.4265361204,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6179,Fayette Power Project,TX,ELECTRIC POWER,1.0,ST,RC,COAL,3031477242.0,0.0,32108156.0,32108156.0,0.0,1916761.0,Tons, ,879.570591,1514.5165899134,930.249,540.2513700784,490.112827795,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6179,Fayette Power Project,TX,ELECTRIC POWER,1.0,ST,SUB,COAL,6562839303.0,0.0,69425503.0,69425503.0,0.0,4145492.0,Tons,0.00337949382124003,634.499414325,1514.5165899134,930.249,389.7233279631,353.5546838094,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
6179,Fayette Power Project,TX,ELECTRIC POWER,1.0,ST,DFO,PET,12173455.0,0.0,128139.0,128139.0,0.0,21645.0,Barrels,0.0027,0.4465845884,1514.5165899134,930.249,0.2743019585,0.2488451043,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
